optimality_error
1.4350784212036824e-05
5.528779879524776e-06
1.143575456651879e-05
1.5763957799961547e-05
6.6752764192744204e-06
4.351373350755169e-06
2.2317032845233755e-05
9.564833147780833e-06
1.8882621178504847e-05
1.6099555175489368e-05
1.2798255024236351e-05
1.1381208417259696e-05
1.1323971368239369e-05
1.570278378397415e-05
1.715750096869666e-05
1.3124791245594923e-05
2.7505659093019513e-05
2.4242299637562547e-05
1.171394960691335e-05
2.0186874449209013e-05
1.123875076802515e-05
9.467241983686692e-06
1.2144826339740108e-05
1.2882165449534443e-05
1.2997186053539272e-05
1.5804963079519525e-05
6.305435426396226e-06
1.3655066590059635e-05
1.534368482485132e-05
1.6100743988658747e-05
1.9498635236830994e-05
2.2785667316809005e-05
8.184347419908954e-06
1.4968902499297297e-05
1.3733979621824439e-05
1.5914624882899694e-05
9.839589379624612e-06
1.3816683165753954e-05
8.872960946542219e-06
1.3462014444314594e-05
1.6241777120187238e-05
5.288699750063315e-06
7.782640508878662e-06
2.1698844741206487e-05
5.281928213413066e-06
1.0859435085569962e-05
1.6918361062870252e-05
1.1019307519878601e-05
1.1550595018785313e-05
1.3044125695471757e-05
1.590128819092077e-05
1.3622683595153849e-05
1.1387664616487385e-05
1.013648746389405e-05
1.3513581536310468e-05
1.5165669330485957e-05
2.1670941807861578e-05
1.0055974214606087e-05
1.0620479163926891e-05
1.7004943885748954e-05
1.6660119364904906e-05
1.3660788159919551e-05
1.7466681612559765e-05
1.3093111251684876e-05
1.6710812368265882e-05
1.1569482685666485e-05
1.834353659067372e-05
9.902467305417216e-06
9.070117772153903e-06
1.5570874730968362e-05
2.5459623670715554e-05
3.037541344968433e-06
1.1369376250743005e-05
1.0190467085842998e-05
1.601059757208239e-05
