feasibility_error_rp,optimality_error_rp,feasibility_error_no_rp,optimality_error_no_rp
4.986451379131196e-08,1.7502665050334262e-06,1.1322721807770588e-07,1.0696182652450494e-06
5.97196573410588e-08,1.3360165149400556e-06,1.1548148813242612e-07,6.264798105670835e-07
4.2546944434494615e-08,2.1699210517373824e-06,1.3186991140505123e-07,1.4127932670401353e-06
3.668405949528211e-08,1.1944236633748893e-06,1.3692816788463874e-07,4.4388654074578136e-07
4.3471835431863657e-08,9.064009057607128e-07,1.4111878339913777e-07,1.0986679159171127e-07
4.454222767645063e-08,1.9853141335154977e-06,9.607712274102467e-08,1.234800538578158e-06
3.067304493787958e-08,1.7794726020502521e-06,9.601175696885724e-08,1.01632482898564e-06
3.546165883742578e-08,2.374020546550804e-06,1.1748136134293339e-07,1.6394656923194456e-06
4.4213861338667436e-08,1.782635235677349e-06,1.4301367748385233e-07,9.942994866612778e-07
3.814553520949576e-08,1.2878400096326925e-06,9.905764412940737e-08,5.624810611909526e-07
5.321856162560341e-08,1.3540510517286153e-06,1.2177518298523258e-07,6.760864886829567e-07
3.122539336974027e-08,1.7255077280843322e-06,7.580329864386941e-08,9.707734564428713e-07
4.821831735127395e-08,1.7099841841982404e-06,9.045554383341079e-08,9.791236860294738e-07
4.615823265271803e-08,1.1394115041304798e-06,1.4071226240201925e-07,4.2204042048995867e-07
2.961277658304185e-08,1.9992692843744784e-06,1.3832767141321723e-07,1.2308572139863553e-06
5.4294212170364734e-08,1.5221176691775369e-06,1.2581078213010505e-07,7.829502656695529e-07
4.1011193312410296e-08,1.3745968487092566e-06,1.4053994212347243e-07,6.255379990410049e-07
2.1453352133819446e-08,1.5432951439768413e-06,1.0426409926509535e-07,7.982154928577629e-07
4.546272951519989e-08,1.9322367015520706e-06,1.020528397694217e-07,1.1464367703913893e-06
4.656979466425248e-08,1.483896653240077e-06,1.2937428014442744e-07,7.353951745861822e-07
4.1514179353869254e-08,1.7683951062886694e-06,1.5496390769778753e-07,1.0420377431070742e-06
3.635023158930705e-08,2.6759098242064314e-06,1.0880920456908515e-07,1.9941292079258725e-06
3.308008165988241e-08,1.4521601131989078e-06,1.472227832573447e-07,7.473755665447929e-07
2.987429013373152e-08,1.2103044031415359e-06,3.5035905708816384e-08,5.613567742083785e-07
4.630361037576546e-08,8.712060979999977e-07,1.411018528510377e-07,8.567097786716252e-08
2.8945080312774123e-08,1.4625780494313993e-06,1.0460424463472824e-07,7.537270120575577e-07
1.7114925723196374e-08,1.1904713508394079e-06,8.271942442295541e-08,4.493981270683217e-07
2.7868674469321595e-08,1.134350829667898e-06,1.0365060583776965e-07,4.87115868938217e-07
2.473336291351183e-08,1.7890310266893246e-06,4.635980803506742e-08,1.0015807211601652e-06
4.037764793155685e-08,7.973718618519718e-07,1.0804841374305643e-07,8.451937876364929e-09
3.532553086212636e-08,1.8289196206504597e-06,1.1801846607218771e-07,1.0512394243321687e-06
1.8435048411380088e-08,1.646724216463594e-06,1.303183837383632e-07,7.97745985400236e-07
3.1684813782794967e-08,1.0230725621646081e-06,9.157868021839925e-08,2.488362538452338e-07
4.14125783236332e-08,1.399596385555617e-06,9.374766820673209e-08,6.144454603311971e-07
4.733777109717817e-08,9.924399806959265e-07,1.076617179613844e-07,2.498258329908012e-07
3.348508099402812e-08,2.4380139994165203e-06,1.3071849142039362e-07,1.7043494879638991e-06
5.130846629633292e-08,1.729376594078137e-06,1.3326273617409112e-07,1.0674736721975058e-06
2.853114708950806e-08,1.2628434874526977e-06,8.812576047543157e-08,5.576451844347105e-07
3.501923817578577e-08,1.722442108029253e-06,1.2177917752468077e-07,9.458136778877968e-07
3.913550514561946e-08,1.8914225534442239e-06,1.1505591018572942e-07,1.0997576803561562e-06
4.145302691001776e-08,1.597282189861455e-06,1.4007313117316412e-07,8.706405181098247e-07
3.667753493386512e-08,1.9720254101150885e-06,9.178483431634791e-08,1.1606329070671974e-06
4.7188090038800866e-08,2.0822301107606478e-06,1.1204628360741903e-07,1.418236092440627e-06
5.358880487615637e-08,1.2176125512731286e-06,1.1676852252274177e-07,5.231248929863622e-07
2.2559338807961096e-08,1.2585098541915322e-06,5.783460426556388e-08,4.869196526028107e-07
2.63363651572836e-08,1.368076618160314e-06,1.0744077528775792e-07,5.383088868162702e-07
3.0725000460003376e-08,2.119786726493057e-06,1.1091615359334316e-07,1.4334569243884982e-06
4.384866407209625e-08,1.4451027276624833e-06,1.173738933115841e-07,6.900981508778761e-07
3.091728409375319e-08,1.0840681571634536e-06,9.819958703761537e-08,3.923106394515942e-07
1.6259396271548864e-08,2.302443119353108e-06,5.2788562397929365e-08,1.4782270767397785e-06
